Level, h1, h2, h3, h4, h5, h6, h7, h8, h9, h10, h11, h12, h13, h14, h15, h16
Level 1,0.0011255091292097892,0.00032080940916823036,0.05341234985500691,0.00021229765156658448,0.003618276761188208,0.0002702349896588929,0.0001856396969300804,0.002219477808224548,0.0005258224551947714,0.0006362141037053445,0.00019083551104440703,0.0003248302866619654,0.05665830286346162,0.0011115665815031404,0.00997172324789333,0.0003475979109131792
Level 2,0.0007600001059472561,0.0005399998277425766,0.040629999991506335,0.0004300001077353954,0.014790000207722188,0.0004999998956918717,0.00032999971881508827,0.0018799998797476292,0.000559999980032444,0.0008699998259544372,0.0003399999812245369,0.009080000128597021,0.07834000010043382,0.0024699999019503595,0.0014499998651444912,0.0003499999642372131
Level 3,0.000551260616764144,0.0003218288671475933,0.03132000000202076,0.00010109731974962254,0.0014392684578194797,0.00025845852131200413,0.00008753755505201009,0.0006421815762132075,0.00020710646784982987,0.00026700194866672054,0.00017946440699752992,0.00012343565876833526,0.04445598955034412,0.00038990202882393447,0.0027358197237855853,0.00010713259345814732
Level 4,0.0008238095435358229,0.0005285715506899924,0.0809333331971651,0.0004428570557917867,0.0013047619057553156,0.0003285713139034453,0.0003238095946255184,0.005633333343125525,0.00048571439193827767,0.0020000001504307703,0.0002428569964000157,0.0005476189156373342,0.07628095229821545,0.005119047571151029,0.0023380953463770096,0.0003000000225646155
Level 5,0.0007571427683745112,0.000580952192346255,0.24252857134810515,0.0006904759932131995,0.0027190475236801874,0.00046666676089877175,0.00048095245091688064,0.0025571429481108985,0.0006380953072082429,0.0013047619057553156,0.00034285709261894226,0.0007523810490965843,0.09638095239088648,0.003180952387906256,0.002219047707815965,0.0004238093804035868
Level 6,0.0006599999032914639,0.00041999975219368934,0.10685999989509583,0.00045000016689300537,0.0011099999770522117,0.00027999971061944964,0.0003800000995397568,0.001920000184327364,0.0007700001820921898,0.0015599998645484448,0.00021000029519200326,0.0005200000479817391,0.13022999987006187,0.002780000027269125,0.0029199999757111073,0.00028999978676438334
Level 7,0.00034371723241309653,0.0001761895508749042,0.05419209555361567,0.00010310740232363468,0.001242454838391866,0.00016544960586798726,0.00017016896716476204,0.0009675665168356817,0.00029452321271360166,0.0003969702836372802,0.00010825403575139917,0.00013124878786158436,0.05703231695479451,0.0006824431898950327,0.0018716255668822042,0.00011208001397597858
Level 8,0.0004877778184082773,0.00028666671779420643,0.06277333332432641,0.00036888888312710654,0.0011311110833452807,0.0002444444534679254,0.00046777781099081037,0.0005888889129790995,0.00030666667347153026,0.0003477778389222092,0.0001777777758737405,0.0005388888530433178,0.06955555555307202,0.0007911111124687725,0.0014444445052908526,0.0009188888697988457
Level 9,0.0006916666722023173,0.00033114032754511164,0.0382750000102086,0.0004276315796009281,0.000875438571695173,0.0003530701802095823,0.00029824560981962767,0.0006521929406740686,0.0003675438520874371,0.0003021929919588984,0.0001982455917944511,0.000581578935676238,0.0462105263130772,0.0006048245224774929,0.005284210536302182,0.00032412285279286533
Level 10,0.00022725213201406764,0.00017750532557961465,0.03212753197784895,0.00008901919070472405,0.0007580623574513219,0.00013370202359820862,0.00008783315637035728,0.0003829024618427986,0.00017476013041476705,0.0001653784657391642,0.00010699626114934301,0.00010537046830910546,0.03932506662792465,0.0003414978695187424,0.0025829557615614286,0.00009885394505397884
