Level, h1, h2, h3, h4, h5, h6, h7, h8, h9, h10, h12, h13, h14, h15, h16, h17
Level 1,0.0008903933315275189,0.0002749546183846318,0.00027068487296883875,0.00011487102470336817,0.00012285513003380634,0.00017546333241252562,0.0007290558994580538,0.000621724356419574,0.001594617180287456,0.00019278076907189992,0.04794162307758457,0.008463201533095576,0.00015394333582849075,0.001059672563838271,0.0022342107705294323,0.052822229230107785
Level 2,0.0008530000224709511,0.0005479000508785247,0.0004926999565213919,0.00034030009992420674,0.0003025999292731285,0.00027540000155568123,0.0004335000179708004,0.00041470001451671124,0.00210679997690022,0.00033789994195103644,0.07258440000005066,0.0017357000149786472,0.0060645000543445345,0.008361600013449788,0.004683200037106872,0.07181140002794564
Level 3,0.00031397883493786615,0.00019843527258834288,0.00016793337566042008,0.00008963409727311539,0.00008456982273163164,0.00008106975378815369,0.00020886622880269778,0.00018602664327549437,0.0006478018253910277,0.00015923017672440104,0.03432957831390596,0.002895283474812587,0.00013007459472220057,0.0007371294589568438,0.000902349708308627,0.04777141123235099
Level 4,0.0004186190531722137,0.00021538098475762775,0.00021261903679087047,0.00028161904109375816,0.00021842860483697483,0.00020714292657517252,0.0024143333458119913,0.00025723810263332867,0.002484571410431748,0.00017600005403870629,0.08023914284560651,0.0027948571369051933,0.0003486666828393936,0.004197714318122182,0.0015290476204383942,0.08457723807632214
Level 5,0.0006865237928217365,0.00036852385493971055,0.0003452381074783348,0.0004818095559520381,0.0003776190625060172,0.0003528095382664885,0.0012374285918970902,0.0004176667093166283,0.0019631904461199327,0.0003116190477850891,0.08498242863320879,0.0018833809133086885,0.0005858571800802435,0.002596047573855945,0.0041263810181546776,0.29131457138629185
Level 6,0.0005258999764919281,0.0002715999726206064,0.0002489999867975712,0.0003355999942868948,0.0002814001403748989,0.00025639995001256464,0.001589300064370036,0.0006432999856770038,0.0017045000568032265,0.00021800007671117782,0.10511859990656376,0.0029880000744014978,0.0004282000008970499,0.002615299867466092,0.003593400027602911,0.12703830003738403
Level 7,0.00027008423063078685,0.00012164890121096028,0.00011568861918713518,0.0000832395217271741,0.0000750221554636063,0.00007633752507453193,0.00039809481045621596,0.00022714091994671407,0.0008594588838525102,0.00010810998433869994,0.05248243273486813,0.0016246602840781093,0.00011361736280029406,0.0007114728553008712,0.0014835660641421815,0.05667900299261177
Level 8,0.00036784445142580406,0.00019777779881325033,0.00018575555231008264,0.0005564999611427387,0.00019626664515170786,0.0003503333415008254,0.00030141111152867477,0.00020849996039436924,0.00044360001985397604,0.00015898890689843232,0.05901114442385733,0.0013170111148307722,0.0004129555748982562,0.00044517775273157493,0.015069700001428524,0.07113023331492312
Level 9,0.00026664474831992075,0.00016885526118832721,0.0001661140357323906,0.00020909650872151056,0.0001731578979575843,0.00017394298450661855,0.0002014429855830314,0.00018290790786411155,0.0004158070180238339,0.00015676754788217839,0.03079608332145175,0.0041571315745578,0.0003294780515461114,0.00040295616143562815,0.0004529122716600173,0.0433730877049496
Level 10,0.0003050539702393496,0.00013665498461701406,0.0001162479981965721,0.00007482276157613025,0.00011528784979823858,0.00007250772958903361,0.00018638965804308556,0.000160607539784056,0.00038878758109536077,0.0001409800096066482,0.03711534861326545,0.002791333155319798,0.00010696841778158188,0.0003312609271644783,0.0006675000007980184,0.045350863143113124
